Event,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Probability
E40,5.96,5.69,9.68,7.59,3.71,5.1,3.71,5.23,5.66,3.41e-05
E41,6.14,1.83,7.41,7.38,2.85,8.79,4.33,8.41,6.69,7.283e-05
E42,3.22,0.36,5.44,3.49,6.79,1.96,0.47,5.77,1.99,0.00013808
E43,6.74,9.33,1.88,5.16,8.65,1.98,9.17,3.39,3.74,0.00034964
E44,1.41,2.4,1.7,4.49,4.45,3.85,5.86,4.62,9.81,0.00029326
E45,6.6,6.98,1.57,3.57,5.9,7.76,4.57,0.03,7.04,0.00039177
E46,7.25,8.07,2.01,7.64,7.15,4.31,2.18,6.38,2.39,0.00025047
E47,4.58,3.04,1.19,7.55,4.77,2.74,3.27,0.75,1.22,0.00013445
E48,2.89,8.57,3.44,0.69,3.33,7.59,6.07,7.08,6.78,0.00022715
E49,7.47,6.18,5.8,6.47,6.23,2.36,8.52,0.91,2.13,0.00035293
E50,7.19,8.52,8.66,1.38,3.56,9.92,8.09,8.34,6.59,0.00035175
E51,4.73,6.05,2.33,1.33,0.65,6.84,3.94,0.77,8.33,0.00017031
E52,2.82,1.53,6.9,6.78,5.36,9.76,2.34,1.41,9.63,0.00011588
E53,2.12,1.49,8.87,4.82,7.92,2.3,5.49,8.55,4.39,7.587e-05
E54,9.58,4.54,1.88,4.48,6.48,8.88,7.15,4.87,5.33,1.61e-05
E55,7.24,3.63,7.41,5.18,5.19,8.43,4.61,2.55,0.71,0.00015872
E56,4.74,1.35,0.88,4.35,8.85,5.05,1.22,2.34,6.86,6.907e-05
E57,5.46,8.3,4.67,1.57,2.1,5.73,0.47,8.18,4.61,0.00030361
E58,6.4,6.56,0.39,1.72,9.97,3.99,2.8,7.1,3.22,0.00023005
E59,4.38,6.43,2.45,0.33,7.17,4.57,5.36,3.92,5.58,5.004e-05
E60,5.02,9.91,4.21,2.64,7.89,3.64,0.04,3.16,2.44,8.983e-05
E61,8.36,9.76,1.54,9.44,1.07,2.62,9.34,0.36,6.32,5.99e-05
E62,4.0,2.9,8.2,8.6,9.08,3.21,7.42,7.91,4.36,1.421e-05
E63,1.02,4.85,2.66,4.08,6.11,0.44,0.56,9.97,1.43,3.782e-05
E64,1.33,1.01,2.03,4.59,1.75,7.92,7.63,8.05,7.27,0.00035504
E65,4.14,5.36,4.48,0.52,6.36,7.87,3.43,9.41,4.98,0.00023224
E66,9.34,0.45,9.81,1.92,6.88,8.55,7.4,2.65,6.23,0.00033768
E67,7.52,4.29,7.78,7.53,5.91,0.57,0.22,1.45,4.62,0.00028716
E68,8.59,5.28,3.22,9.5,7.33,0.19,6.42,9.34,2.18,0.00016675
E69,6.82,7.49,6.17,0.86,3.16,4.16,3.92,5.88,4.53,0.00037134
E70,5.32,4.08,4.68,3.67,1.22,7.62,9.93,8.14,7.32,0.00011761
E71,4.84,2.11,0.39,0.17,0.5,1.05,6.39,5.86,4.46,4.911e-05
E72,2.43,7.91,5.82,9.95,3.49,0.45,5.47,8.89,6.7,0.00011323
E73,1.07,9.28,8.11,6.86,1.07,6.63,7.31,6.43,2.14,1.806e-05
E74,3.32,6.39,2.61,7.25,6.14,9.94,8.58,5.27,4.96,0.00017251
E75,4.39,0.41,5.72,4.24,8.49,6.18,8.89,1.8,1.45,4.69e-06
E76,3.29,6.08,6.85,8.89,2.42,7.13,1.25,2.68,5.17,0.00020841
E77,0.53,6.12,5.9,8.13,1.7,9.82,5.94,4.14,5.84,0.00026952
E78,9.58,7.99,9.8,1.48,7.28,8.15,7.32,2.22,5.54,0.00021826
E79,5.66,7.6,3.96,4.18,8.92,4.77,9.44,7.17,5.18,0.0003247
E80,6.47,1.4,0.82,5.56,7.06,8.75,0.33,9.56,1.46,0.0003401
E81,2.89,9.62,3.51,0.52,1.41,8.1,5.92,6.63,9.06,2.36e-05
E82,3.45,7.98,7.61,8.8,9.84,7.01,9.5,0.07,3.29,0.00012623
E83,6.05,0.28,1.12,0.31,3.51,0.15,6.12,2.19,3.75,1.577e-05
E84,7.29,7.22,6.03,6.83,1.86,4.35,5.91,2.15,9.57,4.425e-05
E85,1.99,4.43,5.56,3.63,1.23,8.4,5.13,3.42,9.93,4.044e-05
E86,0.33,9.7,9.73,5.3,1.43,0.69,2.32,4.14,6.3,0.00022731
E87,9.3,7.63,8.21,5.87,9.97,2.74,3.01,2.1,6.8,0.00027086
E88,5.6,8.98,9.58,3.46,0.03,9.27,7.43,6.01,5.7,0.00034477
E89,5.73,1.23,0.79,7.34,9.2,0.09,0.55,6.46,5.44,0.00021352
E90,8.24,6.67,7.86,4.11,0.61,6.29,9.29,7.23,5.98,0.00038644
E91,7.56,3.32,9.21,5.93,0.59,3.31,7.72,7.28,4.49,1.224e-05
E92,5.1,3.5,6.71,3.63,6.18,2.28,9.39,4.28,1.17,0.00037862
E93,4.7,1.51,7.16,3.41,8.2,6.97,2.92,8.05,2.79,0.00017423
E94,5.98,1.58,0.25,2.8,7.88,2.51,3.88,2.42,4.22,0.00011497
E95,5.36,6.35,4.31,4.24,5.95,7.88,6.06,0.99,6.43,0.00038675
E96,0.27,3.85,4.8,0.95,7.04,7.25,2.53,4.78,3.35,0.00033772
E97,8.83,1.87,3.73,7.99,2.01,5.34,4.42,3.28,4.53,0.00022856
E98,1.23,6.82,6.72,8.16,2.08,9.79,1.74,0.38,2.07,0.00023441
E99,9.37,8.72,3.07,5.45,9.9,8.33,7.41,8.66,7.67,0.0003679
E100,9.64,6.94,7.45,0.08,2.67,7.47,0.88,6.79,9.89,0.00033529
E101,9.32,8.34,2.82,6.36,8.41,5.15,7.75,9.09,1.63,0.00010327
E102,6.17,1.94,9.75,8.46,2.78,9.71,4.29,2.34,7.31,8.523e-05
E103,6.26,0.71,2.16,8.56,9.96,5.88,1.74,3.11,5.37,6.744e-05
E104,2.33,5.4,9.94,0.64,9.96,7.88,6.82,8.84,5.94,0.00015378
E105,1.86,2.28,9.26,4.29,8.71,7.93,7.35,9.53,1.78,0.00017159
E106,5.3,8.74,7.3,4.28,6.75,3.49,5.46,6.25,6.12,0.00011898
E107,7.6,9.59,6.09,0.23,8.07,7.64,8.29,9.91,1.94,0.00017137
E108,9.76,3.01,6.54,5.64,0.35,0.2,9.5,3.72,8.79,0.00034634
E109,3.17,7.18,8.71,2.74,3.18,7.03,8.72,5.14,7.81,0.00035455
E110,3.18,5.02,0.65,4.91,5.37,0.5,9.4,2.63,8.62,0.0002411
E111,6.66,6.11,3.46,3.6,0.53,4.8,4.14,9.24,4.87,0.00024116
E112,3.58,0.72,1.15,4.02,1.2,2.93,7.3,0.79,7.61,0.00032382
E113,9.76,2.69,9.65,5.43,0.32,0.93,1.62,3.34,6.6,0.00039453
E114,1.16,6.74,6.24,7.69,8.51,0.98,6.54,2.6,5.35,0.00029285
E115,2.02,7.04,6.9,3.46,5.95,4.97,7.8,9.64,3.15,0.00023664
E116,2.35,5.46,0.15,9.84,4.11,2.78,4.46,1.43,6.4,0.00021257
E117,2.21,5.87,9.62,4.24,5.15,8.17,7.09,5.1,7.63,6.06e-06
E118,6.59,9.39,6.85,4.03,1.28,1.99,7.55,5.03,3.4,6.588e-05
E119,8.61,5.54,7.12,5.91,5.52,2.83,6.38,7.42,7.62,7.724e-05
E120,5.04,8.52,5.74,7.21,8.07,2.32,2.89,1.53,8.54,0.00031362
E121,7.67,9.96,9.74,9.97,2.01,7.92,3.89,9.27,2.14,0.00032133
E122,6.15,3.46,6.8,5.69,8.29,0.29,2.29,4.72,3.45,0.00012209
E123,6.35,6.26,4.44,0.48,4.49,2.33,2.46,9.42,5.31,0.0001668
E124,1.85,0.54,1.74,2.93,2.77,9.67,4.18,7.62,2.97,4.648e-05
E125,1.42,2.67,9.25,9.99,8.9,7.08,9.77,8.41,2.97,0.00038986
E126,1.41,9.77,8.94,6.22,6.9,8.83,0.06,7.75,6.71,0.00023367
E127,2.09,3.73,6.33,6.23,1.53,0.33,0.02,7.35,2.86,2.162e-05
E128,5.61,6.86,8.18,3.07,0.46,8.9,1.77,1.6,2.44,0.00011773
E129,7.6,6.41,0.02,7.66,0.91,2.5,5.27,5.99,9.22,0.00018108
E130,9.18,5.63,2.87,0.75,9.83,0.53,6.85,8.31,2.18,0.00012983
E131,9.2,7.98,9.47,4.77,9.12,6.2,2.44,3.91,2.07,0.00027879
E132,6.02,1.33,2.89,5.75,4.56,7.56,4.4,3.66,4.79,0.00015216
E133,5.05,5.15,5.82,6.08,4.12,9.41,1.77,3.21,0.22,4.075e-05
E134,3.9,9.61,0.04,9.62,1.34,2.25,8.58,1.84,6.77,0.00036273
E135,9.28,7.2,6.93,8.86,8.52,0.12,1.72,2.31,6.32,0.00025497
E136,9.18,4.3,7.8,9.93,4.51,1.66,7.36,0.63,7.6,0.00019051
E137,5.84,3.87,0.45,3.68,4.37,4.74,6.99,2.4,0.71,0.00010686
E138,8.0,3.83,7.11,3.11,9.72,0.92,1.96,1.59,8.95,0.00011903
E139,2.32,0.15,5.47,3.15,7.22,3.74,4.78,2.47,3.27,0.00020082
E140,9.4,8.01,4.08,0.55,7.13,5.08,5.23,7.79,6.27,6.217e-05
E141,1.27,3.53,2.88,1.95,8.81,8.07,1.53,8.28,4.01,0.00012323
E142,0.15,4.58,4.74,9.79,6.78,7.32,9.68,6.85,3.04,0.00024717
E143,0.04,8.24,0.1,6.95,5.18,1.72,2.31,5.93,2.28,0.00021676
E144,7.15,0.98,2.93,8.21,9.14,4.7,7.52,2.11,5.72,0.00020474
E145,7.25,9.38,5.79,3.66,2.68,8.34,9.75,9.24,0.79,0.00014891
E146,2.62,0.56,0.11,2.78,6.97,6.46,5.44,6.89,7.35,0.00012433
E147,2.38,3.03,2.65,5.47,1.31,4.66,8.78,9.39,4.37,0.00029797
E148,9.34,8.06,6.35,4.85,6.72,2.18,7.87,1.38,0.09,0.00024629
E149,0.3,1.95,1.04,6.65,9.3,8.01,4.27,0.03,6.94,0.00025413
E150,7.58,1.37,0.48,4.91,9.4,2.15,2.52,7.39,6.71,3.349e-05
E151,9.51,8.25,9.99,4.62,0.23,8.41,0.87,8.0,1.95,0.00022105
E152,5.34,1.04,8.6,2.5,9.47,5.85,6.03,4.21,8.67,3.565e-05
E153,2.54,1.63,4.85,2.48,4.41,6.81,4.48,6.71,2.03,2.746e-05
E154,4.93,6.37,8.92,9.74,8.83,7.79,2.08,0.84,8.82,1.659e-05
E155,7.49,0.48,2.25,5.53,0.5,8.23,5.34,0.84,8.09,0.00024046
E156,4.14,5.05,5.53,4.71,6.83,6.59,6.5,5.37,4.53,0.00022154
E157,9.13,4.47,4.91,1.31,2.5,5.4,4.23,2.08,6.64,3.66e-06
E158,2.37,7.58,7.35,1.1,6.52,8.03,7.36,3.55,9.46,0.00013592
E159,9.84,6.21,7.13,4.21,3.46,8.5,8.24,5.98,2.75,0.00017181
E160,7.55,1.65,0.51,8.4,0.89,4.22,2.83,1.11,2.18,0.00033494
E161,2.89,8.18,0.39,5.91,0.26,4.63,0.08,9.35,0.55,0.00033873
E162,0.59,4.48,8.88,2.33,8.11,9.78,5.72,4.23,6.43,0.00023487
E163,5.49,0.42,3.7,6.23,1.53,1.37,2.48,5.66,6.99,0.00034072
E164,9.56,9.95,2.16,2.08,8.95,8.4,1.29,4.78,2.57,9.033e-05
E165,2.04,1.84,5.88,0.99,0.06,3.24,6.43,7.01,8.11,0.00013939
E166,3.75,4.04,9.27,8.51,1.35,4.65,6.23,5.76,9.32,0.00010596
E167,5.5,6.87,8.01,4.76,7.0,9.67,4.06,2.08,9.88,6.282e-05
E168,4.27,2.21,8.07,3.76,4.36,3.81,8.71,0.63,9.47,0.00017959
E169,0.97,0.42,7.01,7.52,0.96,1.06,7.66,5.4,9.18,0.00030201
E170,1.37,6.56,4.0,4.42,8.15,8.84,7.61,4.88,3.2,0.0001913
E171,0.76,4.69,6.76,1.53,7.16,9.29,3.05,3.28,4.87,0.00021089
E172,4.09,8.66,9.64,2.27,4.08,2.14,0.88,2.65,1.86,0.00031536
E173,2.49,2.19,1.01,1.25,9.38,9.56,8.12,3.5,8.46,0.00012844
E174,0.93,4.59,8.45,3.34,0.37,7.65,8.75,9.19,7.17,0.00027987
E175,8.63,9.15,8.7,1.82,0.08,9.3,7.79,2.84,4.89,3.449e-05
E176,3.21,1.88,7.87,1.63,6.12,1.51,4.65,1.39,3.94,0.0001625
E177,5.67,0.22,5.5,5.44,6.33,5.15,7.51,9.17,7.98,0.00028433
E178,3.84,6.75,1.53,0.93,8.26,8.55,1.77,8.38,9.51,0.00022685
E179,7.05,4.06,4.12,8.39,6.12,9.24,5.51,2.26,8.93,0.00023384
E180,5.68,7.45,1.48,8.6,3.93,9.98,7.28,8.41,5.86,0.00017909
E181,6.45,8.63,8.94,0.55,4.33,3.15,1.15,2.96,6.07,0.00013213
E182,5.65,0.56,0.14,7.36,0.2,1.96,4.1,8.18,1.51,0.00038969
E183,8.81,9.98,0.28,5.04,0.35,2.14,7.23,3.52,5.99,0.00032981
E184,0.75,1.77,2.88,1.83,1.48,2.44,5.83,0.86,4.88,0.00026752
E185,2.52,7.76,4.22,0.16,9.06,5.18,9.55,8.53,3.16,3.751e-05
E186,2.85,4.77,3.94,4.95,4.41,6.14,4.43,5.38,6.74,0.00014678
E187,5.94,1.07,8.98,7.14,9.77,0.47,2.09,0.87,3.82,0.00035118
E188,8.44,2.55,2.23,9.07,8.69,8.69,2.39,2.89,6.22,0.00016764
E189,8.06,4.44,8.45,0.45,3.25,2.32,9.62,4.99,1.1,0.00018443
E190,1.9,6.68,2.04,3.23,8.61,6.58,4.92,9.07,4.4,2.949e-05
E191,5.99,7.52,1.25,8.65,8.46,5.09,1.39,5.3,1.63,1.686e-05
E192,6.25,9.45,4.92,9.73,1.97,1.73,0.69,1.11,0.9,0.0001297
E193,2.36,7.91,6.1,4.15,3.29,0.87,6.22,4.47,2.95,3.616e-05
E194,3.73,3.65,4.28,8.9,6.65,0.67,9.11,5.92,3.01,5.199e-05
E195,6.45,0.2,8.52,5.03,2.39,2.64,7.86,5.45,1.55,0.00033798
E196,5.06,2.92,7.35,0.91,5.98,7.13,3.3,7.51,5.4,4.498e-05
E197,2.37,2.37,4.35,7.68,1.46,5.82,0.13,1.21,1.06,5.235e-05
E198,0.26,5.2,8.59,8.86,7.76,9.22,3.97,4.96,6.87,0.00015535
E199,6.82,3.03,9.26,8.67,6.16,8.79,7.91,1.92,8.26,0.00025986
E200,6.84,8.39,4.92,2.01,5.03,1.63,5.19,7.67,3.53,0.0001056
E201,9.59,4.5,7.49,0.64,7.8,7.74,3.9,7.21,3.39,0.00027855
E202,0.62,0.1,4.44,2.68,9.81,9.28,8.84,1.03,2.68,0.00037126
E203,2.76,2.9,9.44,6.25,5.88,3.56,0.82,2.02,0.4,0.0002905
E204,7.59,2.72,3.46,8.55,7.79,6.65,7.88,5.24,0.7,0.00030583
E205,4.23,9.62,8.17,0.54,4.08,1.1,0.43,8.86,0.53,0.00034769
E206,6.52,7.45,9.67,8.42,1.24,0.45,2.4,8.14,6.86,0.00014846
E207,9.64,4.81,1.06,5.31,2.84,3.68,7.2,4.34,0.9,8.332e-05
E208,7.14,2.31,9.83,5.15,1.62,8.15,7.39,7.54,0.77,0.00021516
E209,0.87,3.72,3.91,0.41,9.61,8.87,1.88,4.62,5.51,0.00029266
E210,6.59,6.77,8.52,0.55,8.12,4.12,0.21,7.81,2.36,0.00013766
E211,9.39,4.89,9.87,1.89,7.87,2.36,5.71,6.56,9.97,4.417e-05
E212,5.37,1.18,0.87,8.37,3.97,3.28,4.16,2.04,4.09,0.00022813
E213,7.93,1.02,8.93,3.61,5.96,0.03,1.08,8.27,6.39,0.00021649
E214,5.47,6.61,6.83,2.68,9.31,6.35,1.78,9.17,9.63,1.718e-05
E215,2.01,0.41,0.8,6.56,3.67,4.58,3.93,6.68,7.58,0.00010038
E216,4.79,8.42,4.37,1.44,5.43,4.23,4.82,5.91,8.84,0.00030415
E217,3.54,1.27,6.61,0.6,6.65,9.95,7.0,1.97,0.51,0.00028934
E218,2.11,1.02,6.16,8.26,3.6,2.83,7.9,5.04,5.9,0.00031264
E219,8.22,7.78,1.2,3.73,1.7,2.86,7.87,5.1,5.67,0.00020048
E220,3.4,4.08,3.31,2.06,8.36,8.01,7.84,8.89,5.67,0.00037682
E221,4.44,4.86,5.76,2.12,0.58,6.34,8.58,6.66,1.01,0.00022477
E222,8.42,0.47,9.59,0.24,4.52,8.24,5.48,5.08,2.28,0.00026405
E223,3.0,2.05,9.71,1.21,6.31,9.9,7.21,0.99,2.62,0.00022285
E224,8.16,0.43,4.81,5.32,3.59,7.74,5.01,9.72,7.94,3.773e-05
E225,2.37,4.55,3.94,9.75,2.69,6.19,3.23,8.24,4.66,9.952e-05
E226,2.06,0.07,4.62,5.59,3.75,5.18,5.84,2.6,5.22,7.93e-06
E227,5.83,5.7,1.47,1.13,2.21,9.08,9.22,9.25,4.02,5.407e-05
E228,8.4,0.13,5.45,0.59,9.63,0.63,8.93,7.84,9.66,4.903e-05
E229,5.15,8.94,0.13,5.16,4.67,4.42,5.66,9.3,8.99,8.214e-05
E230,1.96,0.39,9.3,5.21,9.96,5.52,5.64,7.79,6.56,0.00021349
E231,1.48,2.17,8.61,3.24,0.67,5.87,5.73,4.42,5.15,0.00024259
E232,0.0,6.43,1.44,9.34,9.95,1.99,6.57,5.37,7.5,6.664e-05
E233,4.89,3.13,4.35,0.22,8.28,1.65,5.41,3.04,9.23,0.00037169
E234,1.0,3.07,4.38,6.03,4.55,5.06,3.93,8.25,3.71,0.00024329
E235,0.32,1.13,5.38,2.2,4.71,9.98,1.98,2.48,0.45,0.00029969
E236,7.67,3.48,9.26,0.99,0.72,3.76,5.32,6.73,7.17,0.00035965
E237,1.96,5.72,6.76,0.22,8.86,8.14,4.4,2.13,4.19,0.0003857
E238,9.71,2.28,6.04,4.72,7.3,4.33,6.19,5.78,7.61,0.00024021
E239,8.04,4.07,4.84,4.13,2.08,0.94,3.2,5.74,7.84,0.00014378
E240,8.62,6.9,4.46,2.86,4.81,1.18,7.49,4.46,3.93,0.00032385
E241,5.33,8.85,1.73,9.57,7.42,4.29,8.41,4.0,8.4,0.00032468
E242,3.21,7.34,0.76,1.59,2.78,3.94,5.68,5.98,4.2,0.00014912
E243,4.58,1.34,9.37,1.25,7.4,5.26,7.41,8.9,1.87,0.00027841
E244,1.74,1.45,0.22,4.27,2.14,7.34,3.69,5.26,9.83,0.00011385
E245,3.85,1.43,9.47,5.69,5.06,0.89,3.76,8.45,5.48,0.00019301
E246,4.75,2.42,2.39,9.77,9.62,8.24,2.83,1.62,8.17,2.053e-05
E247,9.47,1.46,8.78,9.83,3.93,5.46,0.44,4.16,0.39,0.00027696
E248,2.55,4.86,3.07,4.06,3.5,1.42,8.7,4.69,1.97,0.00037921
E249,3.83,7.96,3.34,4.4,4.11,9.58,9.05,4.02,5.8,2.765e-05
E250,0.47,3.3,4.47,5.72,8.79,4.19,4.98,7.38,9.44,0.00031451
E251,9.16,2.49,6.31,6.9,5.08,7.21,9.7,5.25,7.67,0.00021688
E252,2.67,1.0,0.61,8.33,5.54,0.43,0.68,0.57,5.94,0.00028123
E253,2.02,8.26,8.43,4.7,9.56,8.23,0.29,6.9,1.23,2.566e-05
E254,3.07,2.7,7.77,6.92,0.58,5.64,6.07,9.77,8.64,0.00011795
E255,0.68,9.02,4.08,9.12,8.55,6.31,4.79,8.6,9.41,0.00030174
E256,7.89,6.3,3.31,2.35,9.2,2.45,6.13,9.97,0.83,0.00018038
E257,9.73,9.15,5.62,5.23,9.38,4.89,5.03,6.69,5.63,0.00024547
E258,2.32,5.47,8.63,3.91,5.71,8.24,4.2,4.51,3.44,0.00031839
E259,3.26,5.06,8.62,0.63,0.45,4.61,9.67,8.51,7.69,0.00023764
E260,1.85,2.58,8.33,7.71,5.46,4.78,6.46,1.23,3.22,0.0002695
E261,4.76,5.38,4.21,2.11,7.56,3.58,5.74,8.06,8.4,5.593e-05
E262,7.28,5.64,9.57,4.23,2.14,2.15,9.78,6.03,0.9,0.00012217
E263,8.17,6.62,3.67,1.53,1.81,6.77,4.16,4.05,2.84,0.00039457
E264,7.16,5.15,0.36,2.99,9.32,2.95,4.82,8.12,5.24,0.00031071
E265,9.75,7.01,3.97,3.76,1.6,3.84,9.2,9.38,5.01,0.00013493
E266,8.58,7.03,1.4,7.18,6.64,4.24,2.33,8.15,9.4,0.00033675
E267,7.74,5.89,3.37,1.06,0.97,5.68,3.91,4.55,5.68,0.00024684
E268,9.3,0.51,6.91,8.87,7.67,1.2,9.41,8.47,1.25,0.0001144
E269,8.75,7.48,5.6,0.37,4.76,4.97,9.35,7.57,6.41,5.867e-05
E270,0.01,7.72,3.79,4.63,5.92,8.89,3.38,8.75,0.36,4.189e-05
E271,9.89,0.45,7.14,1.41,0.2,0.91,0.55,4.37,9.52,0.00010441
E272,8.86,2.1,3.86,0.54,4.6,2.71,2.12,5.32,2.89,0.00012508
E273,4.87,1.83,5.5,2.7,1.7,3.38,9.65,7.87,5.1,0.00016404
E274,7.78,3.08,1.1,2.67,4.94,8.44,8.4,0.19,7.14,5.613e-05
E275,3.18,3.92,0.65,2.05,1.12,4.4,2.28,2.58,4.1,0.0003432
E276,1.44,2.63,2.11,9.63,8.53,3.07,1.55,4.71,1.3,0.00039496
E277,5.4,0.73,2.31,4.29,7.87,6.89,1.27,1.91,2.87,0.00036853
E278,9.77,8.98,7.63,6.75,2.6,7.18,7.57,7.44,0.37,2.245e-05
E279,8.84,5.1,1.59,3.26,8.0,7.17,1.85,0.83,4.2,0.0002562
E280,3.38,0.9,0.37,0.65,6.02,3.26,5.81,0.82,8.68,0.00036104
E281,8.15,2.31,0.77,7.41,6.18,7.92,8.24,1.63,0.59,9.311e-05
E282,2.17,9.36,6.38,8.34,2.65,8.5,7.15,3.07,2.85,0.00013019
E283,3.05,6.12,5.51,6.84,1.48,3.1,2.56,3.61,7.14,0.00012753
E284,2.94,9.41,8.72,3.47,6.31,1.81,7.57,0.18,7.21,0.00037834
E285,5.35,2.0,1.95,4.21,0.8,9.94,9.1,9.28,1.4,0.00033518
E286,1.41,7.74,8.21,8.25,0.54,3.21,3.89,3.65,8.66,6.716e-05
E287,2.19,7.91,6.06,4.39,9.04,1.05,3.45,1.32,0.44,0.00022371
E288,9.78,2.99,3.32,3.36,6.67,9.56,4.35,2.8,4.48,0.00035213
E289,5.01,2.86,0.97,4.46,2.87,3.2,9.43,2.77,8.81,0.00016157
E290,3.43,1.74,7.21,8.22,8.96,1.66,3.08,8.39,2.24,0.00036678
E291,8.37,4.72,5.63,6.11,8.01,2.92,5.18,7.33,8.13,0.00010115
E292,2.95,1.8,3.57,6.78,5.68,2.27,6.13,4.57,5.26,5.014e-05
E293,5.99,6.64,6.43,3.67,7.3,4.61,2.89,0.65,8.96,2.587e-05
E294,1.52,3.72,1.36,4.34,1.04,8.38,0.85,6.51,4.79,6.925e-05
E295,3.84,2.85,3.2,9.84,9.71,0.45,1.75,8.84,0.46,0.00029788
E296,8.38,4.15,8.5,3.61,9.42,4.52,4.79,2.34,0.99,0.00027976
E297,8.1,6.02,6.98,5.85,7.19,8.5,5.7,6.05,3.37,0.00019123
E298,6.26,8.78,3.51,6.55,4.95,2.77,4.5,9.94,5.08,0.00037251
E299,1.59,3.07,0.04,9.24,6.23,7.97,6.01,3.94,4.33,0.00036082
E300,7.84,8.07,8.29,5.98,3.69,7.28,8.47,1.87,4.59,0.00021627
E301,0.64,3.78,0.97,7.89,5.65,4.64,8.47,0.81,5.98,0.00031856
E302,1.0,2.99,3.96,0.48,1.8,0.37,2.41,9.71,4.7,0.00037472
E303,4.3,2.35,5.5,5.21,8.3,7.11,2.9,6.86,6.63,3.566e-05
E304,8.06,0.24,2.95,0.11,4.89,7.86,2.07,0.9,2.44,7.937e-05
E305,6.22,4.71,9.29,9.18,0.03,0.01,2.27,4.44,2.35,0.00034451
E306,1.11,0.93,9.57,8.86,0.69,3.68,2.82,3.71,8.83,0.00030468
E307,3.53,9.73,4.58,1.51,0.59,0.0,8.18,3.56,0.86,0.00013305
